"header","class","mechanism","group","NPB_F18_1_E6_S66","NPB_F15_2_B2_S76","NPB_F12_2_F9_S40","NPB_F7_9_A12_S34","NPB_F13_6_F11_S56","NPB_F1_9_A3_S9","NPB_F13_3_C11_S53","NPB_F17_12_D6_S65","NPB_F13_8_H11_S58","NPB_F9_6_F5_S8","NPB_F15_6_F2_S80","NPB_F10_11_G7_S25","NPB_F18_4_H6_S69","NPB_F12_7_C10_S45","NPB_F14_8_D1_S70","NPB_F7_2_B11_S27","NPB_F2_12_H4_S24","NPB_F6_3_G9_S16","NPB_F9_10_B6_S12","NPB_F11_2_B8_S28","NPB_F13_4_D11_S54","NPB_F18_6_B7_S71","NPB_F2_6_B4_S18","NPB_F14_4_H12_S66","NPB_F2_11_G4_S23","NPB_F1_2_B2_S2","NPB_F14_10_F1_S72","NPB_F17_3_C5_S56","NPB_F7_11_C12_S36","NPB_F16_7_C4_S48","NPB_F9_2_B5_S4","NPB_F12_6_B10_S44","NPB_F5_3_C8_S4","NPB_F13_1_A11_S51","NPB_F6_11_G10_S24","NPB_F8_2_F12_S39","NPB_F16_3_G3_S89","NPB_F9_5_E5_S7","NPB_F15_8_H2_S82","NPB_F15_12_D3_S86","NPB_F6_7_C10_S20","NPB_F11_8_H8_S34","NPB_F4_7_C7_S43","NPB_F17_7_G5_S60","NPB_F14_6_B1_S68","NPB_F8_5_A4_S42","NPB_F13_12_D12_S62","NPB_F16_12_H4_S53","NPB_F8_10_F4_S47","NPB_F1_7_G2_S7","NPB_F9_7_G5_S9","NPB_F16_4_H3_S90","NPB_F8_11_G4_S1","NPB_F7_4_D11_S29","NPB_F12_12_H10_S50","NPB_F13_7_G11_S57","NPB_F17_2_B5_S55","NPB_F15_10_B3_S84","NPB_F12_10_F10_S48","NPB_F3_10_B6_S34","NPB_F2_4_H3_S16","NPB_F13_2_B11_S52","NPB_F14_3_G12_S65","NPB_F10_6_B7_S20","NPB_F2_9_E4_S21","NPB_F1_12_D3_S12","NPB_F16_5_A4_S91","NPB_F5_1_A8_S2","NPB_F15_5_E2_S79","NPB_F8_12_H4_S2","NPB_F8_6_B4_S43","NPB_F9_12_D6_S14","NPB_F15_11_C3_S85","NPB_F5_2_B8_S3","NPB_F10_3_G6_S17","NPB_F3_8_H5_S32","NPB_F4_11_G7_S47","NPB_F8_8_D4_S45","NPB_F8_3_G12_S40","NPB_F10_7_C7_S21","NPB_F5_10_B9_S11","NPB_F13_11_C12_S61","NPB_F5_9_A9_S10","NPB_F2_1_E3_S13","NPB_F4_2_F6_S38","NPB_F9_11_C6_S13","NPB_F5_4_D8_S5","NPB_F4_6_B7_S42","NPB_F8_1_E12_S38","NPB_F6_9_E10_S22","NPB_F11_1_A8_S27","NPB_F6_2_F9_S15","NPB_F3_1_A5_S25","NPB_F6_6_B10_S19","NPB_F4_12_H7_S1","NPB_F17_1_A5_S54","NPB_F1_3_C2_S3","NPB_F10_10_F7_S24","NPB_F12_4_H9_S42","NPB_F13_9_A12_S59","NPB_F12_8_D10_S46","NPB_F3_5_E5_S29","NPB_F17_10_B6_S63","NPB_F1_8_H2_S8","NPB_F2_8_D4_S20","NPB_F15_4_D2_S78","NPB_F1_4_D2_S4","NPB_F11_10_B9_S36","NPB_F6_12_H10_S25","NPB_F15_1_A2_S75","NPB_F2_7_C4_S19","NPB_F14_2_F12_S64","NPB_F2_10_F4_S22","NPB_F8_7_C4_S44","NPB_F1_10_B3_S10","NPB_F4_1_E6_S37","NPB_F17_9_A6_S62","NPB_F4_3_G6_S39","NPB_F16_6_B4_S92","NPB_F3_2_B5_S26","NPB_F18_9_E7_S74","NPB_F14_12_H1_S74","NPB_F11_12_D9_S38","NPB_F15_3_C2_S77","NPB_F10_9_E7_S23","NPB_F11_5_E8_S31","NPB_F13_5_E11_S55","NPB_F3_7_G5_S31","NPB_F18_11_G7_S76","NPB_F6_5_A10_S18","NPB_F17_11_C6_S64","NPB_F14_9_E1_S71","NPB_F15_7_G2_S81","NPB_F3_4_D5_S28","NPB_F12_1_E9_S39","NPB_F10_8_D7_S22","NPB_F12_11_G10_S49","NPB_F16_10_F4_S51","NPB_F16_2_F3_S88","NPB_F7_10_B12_S35","NPB_F7_1_A11_S26","NPB_F11_4_D8_S30","NPB_F9_1_A5_S3","NPB_F11_6_F8_S32","NPB_F2_3_G3_S15","NPB_F14_5_A1_S67","NPB_F6_10_F10_S23","NPB_F4_5_A7_S41","NPB_F18_7_C7_S72","NPB_F1_5_E2_S5","NPB_F18_8_D7_S73","NPB_F3_11_C6_S35","NPB_F1_1_A2_S1","NPB_F10_12_H7_S26","NPB_F7_6_F11_S31","NPB_F17_4_D5_S57","NPB_F14_1_E12_S63","NPB_F5_6_F8_S7","NPB_F11_11_C9_S37","NPB_F3_6_F5_S30","NPB_F14_11_G1_S73","NPB_F4_8_D7_S44","NPB_F10_1_E6_S15","NPB_F2_2_F3_S14","NPB_F17_8_H5_S61","NPB_F16_8_D4_S49","NPB_F12_5_A10_S43","NPB_F7_7_G11_S32","NPB_F11_9_A9_S35","NPB_F5_7_G8_S8","NPB_F4_9_E7_S45","NPB_F12_3_G9_S41","NPB_F8_9_E4_S46","NPB_F4_4_H6_S40","NPB_F18_10_F7_S75","NPB_F18_3_G6_S68","NPB_F17_5_E5_S58","NPB_F9_9_A6_S11","NPB_F1_6_F2_S6","NPB_F10_5_A7_S19","NPB_F6_8_D10_S21","NPB_F8_4_H12_S41","NPB_F6_4_H9_S17","NPB_F16_9_E4_S50","NPB_F16_11_G4_S52","NPB_F3_12_D6_S36","NPB_F5_5_E8_S6","NPB_F15_9_A3_S83","NPB_F5_12_D9_S13","NPB_F12_9_E10_S47","NPB_F3_3_C5_S27","NPB_F6_1_E9_S14","NPB_F18_5_A7_S70","NPB_F14_7_C1_S69","NPB_F9_3_C5_S5","NPB_F4_10_F7_S46","NPB_F3_9_A6_S33","NPB_F11_3_C8_S29","NPB_F10_2_F6_S16","NPB_F7_3_C11_S28","NPB_F18_12_H7_S77","NPB_F2_5_A4_S17","NPB_F7_12_D12_S37","NPB_F5_8_H8_S9","NPB_F11_7_G8_S33","NPB_F13_10_B12_S60","NPB_F9_8_H5_S10","NPB_F18_2_F6_S67","NPB_F1_11_C3_S11","NPB_F7_8_H11_S33","NPB_F17_6_F5_S59","NPB_F9_4_D5_S6","NPB_F5_11_C9_S12","NPB_F16_1_E3_S87","NPB_F7_5_E11_S30","NPB_F10_4_H6_S18"
"MEG_1693|Drugs|betalactams|Class_A_betalactamases|CFX","betalactams","Class A betalactamases","CFX",67,30,57,10,25,32,18,31,0,77,15,32,105,32,25,32,27,21,67,18,28,42,45,0,19,71,0,0,60,0,63,51,71,25,50,0,0,43,14,0,27,79,26,0,55,55,0,44,41,21,25,23,47,34,82,37,0,0,75,33,53,21,0,32,32,45,27,57,53,0,49,53,0,39,42,98,40,0,44,50,0,0,29,29,48,42,0,33,71,21,38,28,41,67,39,0,21,0,34,0,42,64,0,82,18,0,59,73,58,24,23,13,29,22,45,24,29,41,0,73,0,0,35,31,30,49,24,125,0,22,0,0,0,42,58,34,48,60,0,33,34,41,44,49,32,0,59,16,239,207,56,31,190,33,36,0,18,22,0,70,25,56,12,115,0,22,44,46,0,19,31,44,44,50,54,11,0,23,48,42,44,0,22,0,55,0,25,0,37,33,40,33,52,0,61,0,81,103,0,52,0,61,36,0,56,0,0,19,33,40,0,16,47,0,40,38
"MEG_1694|Drugs|betalactams|Class_A_betalactamases|CFX","betalactams","Class A betalactamases","CFX",61,33,57,0,16,37,16,35,0,67,16,30,95,51,16,29,25,45,49,18,0,24,46,18,36,65,0,0,50,0,60,49,56,0,51,0,11,40,17,26,17,56,47,11,54,56,0,21,33,18,23,0,23,38,88,0,0,22,67,25,36,0,0,46,34,61,33,47,49,28,68,48,0,25,65,87,55,19,45,39,22,0,39,33,45,40,15,36,57,25,57,37,46,42,43,0,28,15,14,0,23,73,0,69,0,19,68,56,43,36,12,15,27,25,53,29,35,31,0,73,22,0,32,30,38,46,0,141,10,21,45,0,0,45,46,28,51,35,0,0,37,0,22,40,22,17,49,39,244,164,75,0,175,47,40,0,0,31,0,71,0,43,25,132,0,0,0,37,0,0,32,55,58,39,24,0,17,0,47,48,25,0,0,0,41,0,31,10,31,39,42,40,41,10,59,23,78,128,0,54,0,64,0,0,31,0,22,0,49,25,24,0,36,0,49,37
"MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX","betalactams","Class A betalactamases","CFX",0,93,1195,128,39,433,97,17,34,249,31,95,0,52,80,147,1281,1212,233,515,104,0,505,23,338,95,32,0,91,0,198,154,255,23,472,0,19,479,42,49,325,341,496,0,96,807,85,0,217,151,120,30,330,291,255,85,0,95,326,403,620,96,20,105,389,170,0,191,137,443,525,149,30,507,560,224,190,114,83,139,547,20,152,113,309,200,650,354,172,299,177,344,436,925,999,0,382,153,417,43,118,175,0,609,244,47,605,212,232,47,300,41,730,204,534,146,0,592,0,223,0,26,76,91,184,90,41,119,15,824,57,43,0,93,276,444,418,11,0,229,99,266,138,830,170,58,381,502,767,448,152,112,263,347,54,0,31,460,79,131,251,511,430,84,0,0,970,266,106,55,276,519,136,200,55,0,0,93,1145,618,400,0,271,0,0,2969,453,32,544,1173,430,150,19,40,382,953,281,578,0,443,0,237,793,401,101,20,149,0,328,206,0,54,162,0,284,96
"MEG_1696|Drugs|betalactams|Class_A_betalactamases|CFX","betalactams","Class A betalactamases","CFX",66,48,49,0,0,38,16,30,0,72,18,40,105,27,20,29,29,41,63,0,33,26,74,0,29,76,0,14,57,0,58,66,71,14,36,0,0,46,24,30,35,93,53,0,71,63,0,27,34,25,14,26,39,33,90,17,0,26,66,29,50,0,15,27,58,51,0,51,60,37,72,45,0,31,59,93,49,28,55,38,23,0,60,45,52,52,18,32,99,0,52,34,27,75,32,0,0,15,27,0,48,67,0,88,0,30,43,76,46,20,13,0,41,35,58,39,33,39,0,86,17,0,39,30,30,47,15,200,24,39,49,0,0,51,88,39,28,58,0,28,41,23,37,30,44,0,46,22,256,244,72,34,201,51,33,0,11,33,31,57,0,48,32,111,0,24,32,0,15,27,32,36,56,42,42,0,0,0,45,47,29,0,37,0,53,0,0,13,37,36,0,42,39,0,65,25,93,106,0,58,0,85,23,23,52,0,16,0,66,37,21,14,72,20,51,44
"MEG_1697|Drugs|betalactams|Class_A_betalactamases|CFX","betalactams","Class A betalactamases","CFX",28,0,37,0,0,30,25,0,0,50,0,28,50,19,0,0,18,26,23,15,0,0,41,0,0,51,0,0,37,0,25,28,33,0,27,0,0,24,0,0,0,37,32,0,39,32,0,0,24,20,0,14,16,0,51,23,0,0,41,0,26,0,0,0,44,31,0,33,28,0,29,29,16,27,41,44,24,22,0,0,0,0,0,0,34,0,0,28,46,0,45,23,24,56,0,0,24,0,0,0,23,43,0,46,0,0,36,25,27,0,0,0,0,18,32,18,0,39,0,0,21,0,29,18,24,39,0,88,0,0,31,0,0,0,32,31,0,36,0,0,24,15,33,24,0,10,37,22,141,161,59,25,135,24,13,0,0,0,0,37,0,23,0,79,0,24,26,37,0,0,0,23,33,22,0,9,0,0,0,0,17,0,0,0,26,0,0,0,0,0,25,0,23,0,41,0,61,70,0,27,0,32,23,16,28,0,0,0,33,17,21,0,43,0,0,16
"MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX","betalactams","Class A betalactamases","CFX",76,49,72,36,28,41,29,35,20,92,20,43,141,63,29,44,29,59,50,31,47,49,69,24,22,130,0,16,77,17,77,80,94,0,56,0,0,69,21,40,33,86,76,8,59,81,19,43,55,40,41,28,49,70,121,37,0,33,64,53,83,25,26,54,64,65,33,77,45,32,70,67,15,38,91,139,69,42,52,61,33,0,49,50,63,70,28,60,109,48,69,41,59,100,54,0,17,31,50,26,36,95,0,130,17,23,106,83,62,40,31,18,43,45,85,65,60,52,0,80,36,16,41,39,74,87,27,216,23,18,72,0,14,80,94,48,51,66,0,25,54,48,61,54,44,0,74,68,358,326,76,53,274,54,38,0,0,49,19,75,0,67,39,172,0,30,49,51,0,46,38,55,101,46,60,13,31,40,46,80,35,0,47,0,88,0,45,16,33,39,54,66,63,0,52,63,128,178,0,76,0,105,33,38,62,0,25,19,49,46,25,15,66,24,50,64
"MEG_1701|Metals|Sodium_resistance|Sodium_resistance_protein|CHAA","Sodium resistance","Sodium resistance protein","CHAA",550,0,0,65,0,0,0,41,0,0,0,0,694,0,27,0,0,0,0,0,0,285,60,0,55,0,24,460,0,108,0,33,0,0,0,0,465,71,0,0,0,0,0,0,0,0,0,334,33,0,0,408,0,0,0,23,431,0,0,0,0,0,0,0,0,0,105,0,0,0,70,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,288,39,0,0,0,0,86,53,122,45,0,52,0,0,0,33,0,0,0,56,32,268,0,309,0,0,0,0,24,0,0,23,0,179,0,185,35,130,73,50,0,0,916,149,0,0,0,0,0,0,0,0,0,138,0,260,0,0,0,0,84,63,0,0,74,0,0,0,61,93,0,0,0,0,0,0,0,0,0,904,53,117,0,2136,0,0,0,0,506,205,188,0,0,0,52,60,0,455,0,0,0,49,0,0,26,0,190,0,0,0,0,0,237,0,0,448,0,0,345,0,0
"MEG_171|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME","Aminoglycosides","Aminoglycoside N-acetyltransferases","AAC6-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_172|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME","Aminoglycosides","Aminoglycoside N-acetyltransferases","AAC6-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,7,0,0,0,219,0,0,0,0,22,0,0,0,0,237,0,0,0,11,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,62,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1743|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMED","Drug and biocide and metal resistance","Drug and biocide and metal RND efflux pumps","CMED",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,49,0,0,0,0,0,43,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,22,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0
"MEG_1744|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEE","Drug and biocide and metal resistance","Drug and biocide and metal RND efflux pumps","CMEE",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,13,0,0,0,0,0,29,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,20,0,0,0,0,0,0,45,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"MEG_1745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEF","Drug and biocide and metal resistance","Drug and biocide and metal RND efflux pumps","CMEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEF","Drug and biocide and metal resistance","Drug and biocide and metal RND efflux pumps","CMEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1762|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA","Phenicol","Phenicol resistance MFS efflux pumps","CMLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1768|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA","Phenicol","Phenicol resistance MFS efflux pumps","CMLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1771|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA","Phenicol","Phenicol resistance MFS efflux pumps","CMLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1783|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX","Phenicol","Phenicol resistance MFS efflux pumps","CMX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1784|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX","Phenicol","Phenicol resistance MFS efflux pumps","CMX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1785|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX","Phenicol","Phenicol resistance MFS efflux pumps","CMX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
"MEG_185|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME","Aminoglycosides","Aminoglycoside N-acetyltransferases","AAC6-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,83,0,0,55,0,0,0,0,0,0,72,0,0,0,0,0,0
"MEG_2017|Metals|Copper_resistance|Copper_resistance_regulator|COMR","Copper resistance","Copper resistance regulator","COMR",391,0,16,18,0,0,0,33,0,25,0,0,436,0,0,0,0,0,0,0,0,177,36,0,34,0,15,231,0,67,0,0,0,0,0,0,241,29,15,0,0,0,0,0,0,14,0,222,0,14,0,187,0,0,0,0,247,0,0,0,0,0,0,0,0,0,49,0,0,0,29,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,161,0,0,0,0,0,53,34,55,60,0,42,0,0,0,0,0,0,24,29,28,147,0,158,0,0,0,0,14,0,0,0,0,122,0,121,19,58,42,0,0,0,549,81,0,0,0,0,0,0,0,0,0,95,0,152,0,7,0,0,49,26,0,0,60,0,0,0,29,39,0,0,0,0,0,0,0,0,0,470,30,70,0,1247,0,0,0,0,426,119,107,0,0,0,26,45,0,174,0,8,0,48,0,0,0,0,108,0,0,0,0,0,220,0,0,257,0,0,178,0,0
